# 2theta	intensity	baseline	bg_subtracted	normalized
10.00143 16106.00000 15763.81805 342.18195 0.00871
10.01230 16210.00000 15756.88158 453.11842 0.01154
10.02317 16140.00000 15749.94511 390.05489 0.00993
10.03403 16228.00000 15743.00865 484.99135 0.01235
10.04490 15826.00000 15736.07218 89.92782 0.00229
10.05577 16009.00000 15729.13572 279.86428 0.00713
10.06663 16170.00000 15722.19926 447.80074 0.01140
10.07750 15850.00000 15715.26281 134.73719 0.00343
10.08836 15987.00000 15708.32637 278.67363 0.00710
10.09923 15923.00000 15701.38995 221.61005 0.00564
10.11010 15938.00000 15694.45354 243.54646 0.00620
10.12096 15967.00000 15687.51715 279.48285 0.00712
10.13183 16048.00000 15680.58078 367.41922 0.00936
10.14270 15887.00000 15673.64444 213.35556 0.00543
10.15356 16155.00000 15666.70812 488.29188 0.01243
10.16443 15826.00000 15659.77184 166.22816 0.00423
10.17530 15650.00000 15652.83560 -2.83560 -0.00007
10.18616 15884.00000 15645.89941 238.10059 0.00606
10.19703 15966.00000 15638.96323 327.03677 0.00833
10.20790 15916.00000 15632.02705 283.97295 0.00723
10.21876 16301.00000 15625.09085 675.90915 0.01721
10.22963 16020.00000 15618.15460 401.84540 0.01023
10.24049 15995.00000 15611.21827 383.78173 0.00977
10.25136 15992.00000 15604.28186 387.71814 0.00987
10.26223 15651.00000 15597.34533 53.65467 0.00137
10.27309 15607.00000 15590.40867 16.59133 0.00042
10.28396 15715.00000 15583.47185 131.52815 0.00335
10.29483 15886.00000 15576.53486 309.46514 0.00788
10.30569 16068.00000 15569.59767 498.40233 0.01269
10.31656 16006.00000 15562.66027 443.33973 0.01129
10.32743 15690.00000 15555.72263 134.27737 0.00342
10.33829 15851.00000 15548.78473 302.21527 0.00770
10.34916 15838.00000 15541.84656 296.15344 0.00754
10.36003 15793.00000 15534.90810 258.09190 0.00657
10.37089 15873.00000 15527.96933 345.03067 0.00879
10.38176 15892.00000 15521.03022 370.96978 0.00945
10.39263 15908.00000 15514.09077 393.90923 0.01003
10.40349 15790.00000 15507.15095 282.84905 0.00720
10.41436 15931.00000 15500.21075 430.78925 0.01097
10.42522 15835.00000 15493.27015 341.72985 0.00870
10.43609 15784.00000 15486.32913 297.67087 0.00758
10.44696 15783.00000 15479.38768 303.61232 0.00773
10.45782 15693.00000 15472.44578 220.55422 0.00562
10.46869 15717.00000 15465.50341 251.49659 0.00640
10.47956 15700.00000 15458.56057 241.43943 0.00615
10.49042 15686.00000 15451.61723 234.38277 0.00597
10.50129 15865.00000 15444.67339 420.32661 0.01070
10.51216 15684.00000 15437.72902 246.27098 0.00627
10.52302 15606.00000 15430.78411 175.21589 0.00446
10.53389 15572.00000 15423.83865 148.16135 0.00377
10.54476 15648.00000 15416.89262 231.10738 0.00589
10.55562 16108.00000 15409.94601 698.05399 0.01778
10.56649 15668.00000 15402.99881 265.00119 0.00675
10.57735 15906.00000 15396.05101 509.94899 0.01299
10.58822 15875.00000 15389.10259 485.89741 0.01237
10.59909 15709.00000 15382.15353 326.84647 0.00832
10.60995 15762.00000 15375.20384 386.79616 0.00985
10.62082 15824.00000 15368.25349 455.74651 0.01161
10.63169 15575.00000 15361.30248 213.69752 0.00544
10.64255 15798.00000 15354.35080 443.64920 0.01130
10.65342 15832.00000 15347.39843 484.60157 0.01234
10.66429 15634.00000 15340.44537 293.55463 0.00748
10.67515 15651.00000 15333.49161 317.50839 0.00809
10.68602 15688.00000 15326.53713 361.46287 0.00920
10.69689 15990.00000 15319.58194 670.41806 0.01707
10.70775 15539.00000 15312.62602 226.37398 0.00576
10.71862 15994.00000 15305.66936 688.33064 0.01753
10.72948 15756.00000 15298.71197 457.28803 0.01164
10.74035 15702.00000 15291.75382 410.24618 0.01045
10.75122 15820.00000 15284.79492 535.20508 0.01363
10.76208 15596.00000 15277.83525 318.16475 0.00810
10.77295 15398.00000 15270.87482 127.12518 0.00324
